"시점","구분(1)",구분(2),데이터
"2010.11","인천광역시",인천광역시,78
"2010.11","광주광역시",광주광역시,70
"2010.11","대전광역시",대전광역시,71
"2010.11","울산광역시",울산광역시,62
"2010.11","경기도",도평균,83
"2010.11","강원도",도평균,68
"2010.11","충청북도",도평균,91
"2010.11","충청남도",도평균,71
"2010.11","전라북도",도평균,73
"2010.11","전라남도",도평균,58
"2010.11","경상북도",도평균,64
"2010.11","경상남도",도평균,59
"2010.11","제주특별자치도",도평균,86
"2010.12","서울특별시",서울특별시,62
"2010.12","대구광역시",대구광역시,67
"2010.12","인천광역시",인천광역시,67
"2010.12","광주광역시",광주광역시,54
"2010.12","대전광역시",대전광역시,57
"2010.12","울산광역시",울산광역시,55
"2010.12","경기도",도평균,71
"2010.12","강원도",도평균,63
"2010.12","충청북도",도평균,79
"2010.12","충청남도",도평균,54
"2010.12","전라북도",도평균,58
"2010.12","전라남도",도평균,49
"2010.12","경상북도",도평균,59
"2010.12","경상남도",도평균,57
"2010.12","제주특별자치도",도평균,53
"2011.01","서울특별시",서울특별시,44
"2011.01","대구광역시",대구광역시,41
"2011.01","인천광역시",인천광역시,48
"2011.01","광주광역시",광주광역시,34
"2011.01","대전광역시",대전광역시,39
"2011.01","울산광역시",울산광역시,39
"2011.01","경기도",도평균,54
"2011.01","강원도",도평균,51
"2011.01","충청북도",도평균,60
"2011.01","충청남도",도평균,34
"2011.01","전라북도",도평균,43
"2011.01","전라남도",도평균,33
"2011.01","경상북도",도평균,42
"2011.01","경상남도",도평균,37
"2011.01","제주특별자치도",도평균,32
"2011.02","서울특별시",서울특별시,75
"2011.02","대구광역시",대구광역시,65
"2011.02","인천광역시",인천광역시,79
"2011.02","광주광역시",광주광역시,60
"2011.02","대전광역시",대전광역시,63
"2011.02","울산광역시",울산광역시,59
"2011.02","경기도",도평균,86
"2011.02","강원도",도평균,75
"2011.02","충청북도",도평균,93
"2011.02","충청남도",도평균,61
"2011.02","전라북도",도평균,72
"2011.02","전라남도",도평균,56
"2011.02","경상북도",도평균,66
"2011.02","경상남도",도평균,60
"2011.02","제주특별자치도",도평균,54
"2011.03","서울특별시",서울특별시,65
"2011.03","대구광역시",대구광역시,58
"2011.03","인천광역시",인천광역시,71
"2011.03","광주광역시",광주광역시,55
"2011.03","대전광역시",대전광역시,59
"2011.03","울산광역시",울산광역시,63
"2011.03","경기도",도평균,76
"2011.03","강원도",도평균,70
"2011.03","충청북도",도평균,80
"2011.03","충청남도",도평균,62
"2011.03","전라북도",도평균,62
"2011.03","전라남도",도평균,46
"2011.03","경상북도",도평균,64
"2011.03","경상남도",도평균,54
"2011.03","제주특별자치도",도평균,49
"2011.04","서울특별시",서울특별시,56
"2011.04","대구광역시",대구광역시,51
"2011.04","인천광역시",인천광역시,63
"2011.04","광주광역시",광주광역시,54
"2011.04","대전광역시",대전광역시,52
"2011.04","울산광역시",울산광역시,59
"2011.04","경기도",도평균,68
"2011.04","강원도",도평균,63
"2011.04","충청북도",도평균,67
"2011.04","충청남도",도평균,53
"2011.04","전라북도",도평균,61
"2011.04","전라남도",도평균,47
"2011.04","경상북도",도평균,55
