자치구,성별,연령대,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,연령대_1,월
종로구,1,25,2.1,3.7,59.5,552.2,2.6,7342.6,20.0,0.1,126.5,12.1,14.3,4.4,16.9,31.2,13.3,987931.4,281322.6,755.6,368.5,11.8,60.5,92.6,107.2,31.8,0.3,-0.1,12.6,3.3,1.7,20,2
종로구,1,30,2.0,2.9,69.5,549.1,2.7,6573.6,20.83,0.2,131.8,14.3,16.7,5.5,21.5,36.6,13.8,901766.7,254161.3,980.3,442.7,14.9,64.1,114.1,123.8,31.6,0.3,-0.1,13.0,3.7,1.7,30,2
종로구,1,35,1.9,2.6,67.5,553.6,2.5,7034.2,23.33,0.1,111.1,15.3,19.7,6.3,11.6,36.0,12.8,939843.4,283158.9,1003.5,453.2,14.9,59.8,128.5,133.1,28.7,0.1,-0.3,11.3,3.6,1.7,30,2
종로구,1,45,1.6,2.2,64.3,514.8,2.2,6359.7,23.27,0.1,121.0,24.3,23.1,7.7,9.6,38.5,12.4,953619.0,300276.9,1023.0,395.9,14.0,55.4,119.1,120.6,28.3,0.1,-0.3,8.0,3.5,1.7,40,2
종로구,1,60,1.8,2.3,78.3,499.2,1.7,3719.3,21.76,0.0,104.3,16.4,20.2,6.7,3.3,35.6,13.0,979965.7,281706.9,1024.1,453.0,12.7,38.0,48.4,55.6,21.6,-0.1,-0.6,5.6,3.0,0.0,60,2
종로구,1,65,1.5,2.2,69.7,461.1,2.8,6843.1,19.57,-0.1,90.3,14.2,17.9,6.2,3.3,33.5,13.1,1066134.3,314856.2,903.1,401.1,11.9,37.3,43.2,41.7,14.8,-0.1,-0.6,8.0,0.0,0.0,60,2
종로구,1,75,1.4,1.0,0.0,0.0,1.7,7666.7,23.85,-0.2,59.0,18.3,10.9,4.3,0.8,20.1,9.0,1305742.6,415227.9,386.4,160.8,7.1,26.4,13.8,20.5,7.5,-0.4,-0.6,11.7,0.0,0.0,70,2
종로구,2,30,1.8,2.7,61.9,535.5,2.2,8774.2,24.55,0.1,109.9,13.8,14.5,5.2,11.8,31.8,12.3,993318.5,277568.5,719.5,395.2,10.5,36.4,93.7,137.9,27.4,0.1,-0.1,11.9,3.9,1.7,30,2
종로구,2,40,1.8,2.2,58.6,519.7,2.7,6793.3,15.38,-0.1,116.7,18.7,16.0,6.5,5.6,30.2,11.0,1106057.8,336333.9,599.4,338.8,9.0,34.1,74.6,131.4,23.2,0.0,-0.3,7.5,3.3,1.7,40,2
종로구,2,50,1.6,2.3,58.2,491.4,2.1,6775.0,23.71,-0.1,129.4,17.5,16.6,6.1,3.4,32.6,11.2,1098617.3,341614.3,638.8,339.2,9.5,30.9,70.6,97.7,16.0,-0.1,-0.5,7.4,3.0,1.7,50,2
종로구,2,55,1.6,2.3,52.9,499.2,2.5,7637.7,17.86,-0.1,138.6,15.9,17.0,6.1,2.3,30.9,10.2,1109402.1,343476.8,592.8,312.4,8.2,30.3,50.2,85.6,17.3,-0.1,-0.5,5.0,3.3,1.7,50,2
종로구,2,60,1.5,2.3,58.1,473.3,2.1,9194.4,20.0,-0.1,143.5,19.8,18.2,6.3,1.9,26.8,10.3,1196771.8,353470.7,520.0,296.7,7.3,30.4,41.5,53.4,14.4,-0.1,-0.6,6.6,6.7,0.0,60,2
종로구,2,65,1.5,2.4,62.0,463.6,2.3,5666.7,10.42,-0.1,118.5,8.3,13.1,4.4,1.3,23.5,8.5,1204807.5,357666.9,467.9,203.1,7.6,30.7,30.1,42.4,9.5,-0.2,-0.6,5.6,0.0,0.0,60,2
종로구,2,70,1.4,1.7,0.0,0.0,2.5,10555.6,10.23,-0.2,120.9,8.2,13.3,4.4,2.1,20.2,7.6,1306610.3,403657.9,383.3,182.1,5.3,27.7,22.5,44.1,13.2,-0.3,-0.6,16.3,1.7,0.0,70,2
종로구,2,75,1.4,1.1,0.0,0.0,1.7,9166.7,13.61,-0.3,88.2,11.2,8.7,3.5,0.7,13.9,5.9,1371183.7,423489.2,230.9,128.8,4.2,24.5,15.4,32.8,11.0,-0.5,-0.6,8.3,0.0,0.0,70,2
종로구,1,25,1.9,3.7,63.7,533.2,2.1,9037.6,18.82,0.2,127.0,10.8,13.0,3.9,21.0,32.5,13.2,961575.3,260879.4,802.7,398.3,12.8,69.0,101.6,104.3,34.9,0.3,-0.1,12.9,2.9,1.7,20,2
종로구,1,30,1.8,2.9,64.0,536.2,2.3,8768.1,30.34,0.2,132.4,10.9,18.0,5.1,15.4,37.7,15.5,894095.2,239662.1,938.0,484.8,14.9,59.1,127.0,124.1,32.1,0.2,-0.1,12.9,3.3,1.7,30,2
종로구,1,35,1.6,2.3,64.7,542.0,2.1,7357.5,25.12,0.1,132.7,12.3,20.7,5.9,10.4,40.5,14.6,863673.0,242883.2,1062.1,454.1,14.6,50.2,129.2,139.7,32.6,0.1,-0.2,10.4,3.7,1.7,30,2
종로구,1,40,1.7,2.2,66.3,539.7,2.0,5719.5,19.32,0.1,135.9,14.0,22.8,7.4,9.9,40.1,13.3,864802.1,249166.3,1148.8,449.7,14.3,55.0,109.2,123.0,27.0,0.0,-0.2,8.9,4.2,1.7,40,2
종로구,1,45,1.5,2.1,60.7,523.5,1.9,6777.8,21.62,0.0,123.5,17.7,21.0,7.0,7.8,39.1,13.2,895017.3,253292.9,1179.3,462.9,13.7,50.3,95.3,114.5,27.2,0.0,-0.3,8.4,3.1,1.7,40,2
종로구,1,55,1.5,2.2,67.2,526.0,2.2,5071.4,24.12,0.0,116.8,15.8,22.1,7.5,4.4,39.5,13.5,899856.5,256887.6,1090.2,450.8,13.1,39.9,68.2,71.3,20.2,-0.1,-0.5,5.9,3.7,1.7,50,2
종로구,1,65,1.5,2.0,73.8,447.0,2.8,4410.3,26.33,0.0,95.5,16.7,19.4,6.8,2.6,35.0,12.3,985670.0,277469.4,950.1,353.9,11.5,34.3,42.2,44.6,15.7,-0.1,-0.6,4.3,4.2,0.0,60,2
종로구,1,75,1.3,1.0,0.0,0.0,3.3,6555.6,21.16,-0.2,68.5,8.5,13.1,4.4,1.5,25.8,9.0,1171088.4,344061.1,544.1,192.7,8.4,28.8,23.2,24.4,10.1,-0.3,-0.6,8.8,1.7,1.7,70,2
종로구,2,20,1.7,3.0,60.3,484.3,2.5,6135.4,14.8,0.0,96.0,18.6,8.2,3.6,10.3,27.7,11.6,1064984.7,287083.2,653.8,344.8,9.7,36.1,58.0,86.4,22.4,0.2,-0.1,10.0,2.6,1.7,20,2
종로구,2,30,1.8,2.7,54.1,540.1,2.2,7987.2,18.56,0.0,106.7,14.9,13.8,5.0,8.7,31.5,12.6,1028523.8,288752.5,698.3,418.2,11.8,35.9,85.7,128.4,26.6,0.1,-0.1,11.3,2.6,1.7,30,2
종로구,2,35,1.7,2.3,62.1,515.6,2.3,8047.6,22.31,0.0,107.1,14.0,16.9,6.3,8.2,31.2,11.4,1025522.2,282665.4,741.7,374.7,11.1,35.4,90.1,151.8,25.8,0.0,-0.2,9.6,3.2,1.7,30,2
