자치구,성별,연령대,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,연령대_1,월
중랑구,2,60,1.6,2.4,56.8,508.6,2.2,5440.9,13.9,-0.1,122.7,13.0,13.3,4.1,1.3,22.7,8.4,1145870.8,339188.7,398.7,235.5,10.9,35.5,33.2,50.0,11.7,-0.2,-0.6,5.8,1.7,1.7,60,2
중랑구,2,65,1.6,2.5,58.3,494.1,3.3,9088.9,10.3,-0.1,119.8,12.8,12.8,3.9,1.1,19.9,6.9,1229788.0,376499.7,366.2,199.7,9.7,36.2,25.6,43.4,11.5,-0.2,-0.6,4.9,1.7,1.7,60,2
중랑구,2,75,1.5,1.0,0.0,0.0,1.7,3750.0,11.15,-0.3,87.2,9.0,8.3,2.5,0.4,11.6,5.4,1435024.9,450063.4,254.3,113.5,6.8,26.1,24.2,35.1,9.8,-0.6,-0.7,7.7,0.0,0.0,70,2
중랑구,1,20,2.6,3.6,64.2,514.4,2.1,10133.3,15.15,0.0,108.3,14.8,9.7,3.7,13.6,24.1,10.3,1131072.4,327459.6,610.7,293.3,12.9,62.9,91.2,75.2,30.2,0.2,-0.1,10.6,3.0,1.7,20,2
중랑구,1,25,2.5,3.2,69.8,541.7,2.7,8026.7,24.86,0.2,109.2,11.6,12.7,4.5,14.8,32.9,12.3,989890.0,278257.7,894.1,352.0,17.3,67.7,108.5,94.9,31.6,0.2,-0.1,14.4,2.7,1.7,20,2
중랑구,1,30,2.3,2.8,71.2,548.8,2.6,8835.1,28.46,0.2,108.6,18.4,17.8,5.8,16.4,35.9,12.4,903526.1,252486.0,999.6,382.4,19.0,71.5,135.4,134.3,36.3,0.2,-0.1,14.6,3.5,1.7,30,2
중랑구,1,35,2.4,2.4,72.1,549.4,2.3,7100.6,18.58,0.2,130.9,14.0,20.2,6.3,12.8,35.2,12.2,926027.4,260979.0,1093.1,415.7,18.3,63.1,132.1,137.2,30.6,0.1,-0.2,13.1,3.3,1.7,30,2
중랑구,1,40,2.5,2.3,71.0,552.2,2.2,6239.2,18.72,0.1,131.1,14.8,21.2,6.3,9.1,36.3,11.0,913782.8,274436.7,1031.2,356.0,17.9,62.4,119.9,134.8,27.8,0.1,-0.3,11.0,3.7,1.7,40,2
중랑구,1,45,2.2,2.3,81.6,556.6,2.1,7676.8,17.36,0.1,118.0,22.3,20.9,6.3,9.3,36.1,11.5,902310.6,271196.0,1053.4,384.6,17.6,58.7,104.9,115.7,27.7,0.1,-0.3,8.8,3.7,1.7,40,2
중랑구,1,60,2.2,2.3,64.7,556.2,1.7,5727.3,21.6,0.0,86.8,17.6,20.0,5.7,2.6,29.3,10.3,1012023.2,291191.4,817.1,353.9,14.9,41.4,40.2,50.1,15.6,-0.1,-0.6,5.6,1.7,1.7,60,2
중랑구,1,65,2.1,2.5,75.0,530.5,1.7,6750.0,26.55,0.0,78.7,11.4,18.7,4.8,2.3,25.6,9.7,1078059.6,319235.2,742.2,290.2,13.4,36.3,31.0,30.1,12.8,-0.1,-0.6,8.0,0.0,1.7,60,2
중랑구,1,70,2.1,1.4,0.0,0.0,1.7,4476.2,22.82,-0.1,51.2,9.4,12.9,3.6,1.6,21.8,8.1,1206225.7,354751.4,539.5,210.2,11.5,32.5,20.2,26.3,12.6,-0.3,-0.7,10.6,0.0,0.0,70,2
중랑구,1,75,1.8,1.0,0.0,0.0,0.0,9083.3,13.64,-0.2,48.7,6.7,10.1,2.8,0.6,13.9,5.7,1385562.0,426988.4,312.5,154.8,8.0,30.0,14.0,22.8,10.0,-0.5,-0.7,5.0,0.0,0.0,70,2
중랑구,2,20,2.4,3.1,69.4,545.9,1.9,9150.0,14.66,0.0,132.2,15.6,8.7,4.1,10.4,24.9,10.7,1088688.6,311266.8,631.0,328.7,14.0,40.6,70.3,91.0,23.0,0.1,-0.1,11.9,2.4,1.7,20,2
중랑구,2,25,2.3,3.4,65.3,541.6,2.4,8106.9,24.08,0.1,98.0,15.3,11.3,4.6,11.9,30.5,10.7,1000002.2,287829.6,675.2,337.3,16.9,41.9,102.2,135.9,29.1,0.1,-0.1,16.0,2.9,1.7,20,2
중랑구,2,30,2.4,2.9,61.5,512.1,2.2,7962.5,20.85,0.1,98.4,13.5,13.1,5.4,9.4,27.7,10.7,1091147.4,301114.0,581.9,371.3,15.3,37.6,96.2,142.5,27.2,0.1,-0.1,13.5,2.5,1.7,30,2
중랑구,2,35,2.6,2.8,67.3,513.4,2.1,5654.8,18.44,0.0,107.6,13.5,13.3,5.7,7.1,25.9,9.9,1148824.2,312933.2,552.3,311.9,14.4,39.8,94.0,154.6,24.0,0.0,-0.3,11.5,3.6,1.7,30,2
중랑구,2,40,2.4,2.7,61.9,533.9,2.3,6646.8,17.8,0.0,126.5,15.5,15.3,6.0,6.2,25.2,9.4,1168939.8,323780.9,509.8,311.0,13.2,42.3,91.7,154.3,24.6,-0.1,-0.3,10.7,3.4,1.7,40,2
중랑구,2,45,2.1,2.6,60.0,521.0,2.1,7818.6,22.63,-0.1,131.8,17.5,16.5,6.1,3.8,26.5,9.2,1098178.7,314339.5,506.4,298.6,13.3,43.2,78.1,120.9,19.3,-0.1,-0.4,8.5,2.5,1.7,40,2
중랑구,2,50,2.0,2.5,61.2,518.8,2.0,6934.8,13.68,-0.1,116.1,20.1,14.7,5.4,2.2,27.3,10.0,1106585.0,318403.2,496.2,327.4,13.5,38.3,63.4,94.7,14.2,-0.1,-0.5,6.9,4.4,1.7,50,2
중랑구,2,55,2.1,2.5,63.1,531.3,1.7,6866.7,15.82,0.0,115.4,14.8,15.1,4.9,1.7,25.4,9.6,1130350.6,322065.9,486.0,304.3,12.5,39.0,47.3,66.0,13.6,-0.1,-0.6,6.2,3.9,1.7,50,2
중랑구,2,60,2.1,2.5,65.7,511.6,2.2,6627.5,16.55,-0.1,123.5,14.7,14.6,4.5,1.4,23.8,8.7,1162631.2,339902.5,406.9,229.1,11.9,36.2,38.0,53.7,12.0,-0.1,-0.6,9.0,5.0,0.0,60,2
중랑구,2,65,2.0,2.5,72.4,474.2,1.7,4969.7,10.63,-0.1,126.1,15.1,12.6,4.2,1.2,19.5,7.1,1283512.3,378592.4,373.2,204.4,9.8,31.4,23.4,34.7,10.1,-0.2,-0.6,13.1,1.7,0.0,60,2
중랑구,2,70,1.9,1.6,0.0,0.0,0.0,666.7,12.14,-0.2,97.5,11.0,10.0,2.9,1.2,15.2,5.4,1368796.0,427049.8,269.9,127.0,8.5,31.3,18.3,27.3,11.2,-0.4,-0.7,11.7,0.0,1.7,70,2
중랑구,2,75,1.8,1.0,0.0,0.0,1.7,11857.1,10.66,-0.3,82.3,8.8,9.3,2.7,0.6,10.9,5.5,1476091.9,458975.7,273.7,152.0,6.8,27.8,30.7,34.4,11.7,-0.6,-0.7,5.4,0.0,0.0,70,2
중랑구,1,20,2.2,3.9,66.7,494.2,2.2,7680.6,17.14,0.1,114.5,15.0,9.4,3.4,16.3,22.4,9.6,1163768.2,349048.5,576.8,283.3,12.8,69.8,86.6,82.7,29.4,0.3,-0.1,11.7,3.0,1.7,20,2
중랑구,1,25,2.0,3.7,71.1,531.4,2.2,7446.6,20.55,0.2,115.5,16.3,13.3,4.5,16.4,30.2,12.0,1022818.7,304947.6,829.3,394.2,16.8,71.7,106.6,102.2,31.8,0.2,-0.1,15.4,3.3,1.7,20,2
중랑구,1,30,1.8,2.7,67.9,544.1,2.7,7578.1,24.65,0.2,119.7,16.5,18.7,5.8,16.2,33.9,12.0,982089.7,307342.1,996.8,418.9,17.8,71.5,132.9,135.7,36.4,0.2,-0.2,15.3,3.4,1.7,30,2
중랑구,1,35,1.8,2.6,70.8,567.7,2.5,7729.4,21.49,0.2,122.1,15.9,20.4,6.2,14.2,35.8,12.7,965203.9,293550.2,1007.7,420.8,18.3,64.8,145.8,145.7,34.1,0.1,-0.2,13.8,4.2,1.7,30,2
중랑구,1,40,1.6,2.4,72.6,546.2,2.5,8466.7,21.49,0.1,130.8,15.8,21.3,6.5,11.3,37.5,11.5,944875.6,303378.2,1097.5,366.4,18.3,65.2,127.9,136.2,32.4,0.1,-0.3,11.9,3.2,1.7,40,2
중랑구,1,45,1.7,2.6,72.1,546.6,2.4,6666.7,24.7,0.1,114.9,16.1,21.2,6.3,8.0,35.7,11.3,958609.2,309056.1,1102.7,382.0,17.0,60.2,105.8,118.9,25.0,0.0,-0.3,9.3,4.1,1.7,40,2
중랑구,1,60,1.6,2.6,74.7,508.8,1.7,5511.9,20.45,0.0,93.1,18.1,19.3,5.7,2.9,31.0,11.4,1063246.7,340095.0,852.4,371.7,14.7,39.9,39.8,41.2,15.4,-0.1,-0.6,7.4,0.0,1.7,60,2
중랑구,1,65,1.6,2.6,70.4,509.6,2.8,5500.0,24.47,-0.1,74.9,13.4,16.9,4.6,2.1,25.1,9.1,1147677.5,357944.4,673.2,279.6,12.7,36.7,29.1,40.7,14.6,-0.2,-0.6,6.8,0.0,1.7,60,2
중랑구,1,70,1.6,1.4,0.0,0.0,3.3,8166.7,19.14,-0.1,57.2,15.3,14.5,3.8,1.7,22.0,8.8,1237298.6,398497.0,622.2,253.5,11.5,34.6,26.1,30.9,12.3,-0.2,-0.7,8.3,0.0,0.0,70,2
중랑구,1,75,1.4,1.0,0.0,0.0,0.0,8166.7,14.52,-0.2,49.2,11.0,9.2,3.0,0.7,14.5,6.3,1416745.1,465726.1,308.2,156.5,8.3,29.5,20.6,29.1,9.5,-0.5,-0.7,1.7,0.0,0.0,70,2
중랑구,2,20,1.9,3.1,65.6,496.5,2.1,7173.9,13.3,0.0,113.3,15.5,8.9,4.1,9.0,25.0,10.0,1168567.0,350355.4,637.0,302.9,14.2,37.7,73.6,91.1,23.0,0.1,-0.1,12.0,2.3,1.7,20,2
중랑구,2,25,1.9,3.3,60.7,539.6,2.3,7810.1,15.99,0.2,113.1,14.1,11.6,5.0,12.9,30.9,11.4,1027019.8,309344.2,736.9,355.7,16.9,45.9,107.4,147.2,29.9,0.2,-0.1,15.2,2.6,1.7,20,2
중랑구,2,30,1.8,2.7,61.0,528.9,2.4,7451.3,23.0,0.1,86.0,11.6,12.2,5.2,10.8,30.1,11.5,1034163.7,309314.5,717.9,388.6,16.7,44.2,109.5,154.4,29.7,0.1,-0.1,14.6,3.0,1.7,30,2
중랑구,2,35,1.7,2.7,64.0,536.0,2.9,7670.0,18.26,0.0,99.8,14.5,13.0,5.3,8.3,28.6,9.6,1119127.1,355660.3,642.3,341.5,15.0,42.4,103.4,155.5,27.6,0.0,-0.3,13.4,3.2,1.7,30,2
중랑구,2,40,1.5,2.7,61.4,498.7,2.8,8550.7,23.05,0.0,115.3,17.5,14.4,5.6,7.2,28.3,9.2,1117672.2,356572.5,604.8,306.1,14.6,47.3,104.5,157.2,26.3,0.0,-0.3,11.2,3.0,1.7,40,2
중랑구,2,45,1.6,2.6,58.6,506.8,2.2,7563.2,20.42,-0.1,125.5,18.4,15.1,5.7,4.9,26.3,9.0,1164713.1,374560.4,505.8,279.9,12.4,42.7,82.8,133.5,20.8,-0.1,-0.4,8.8,3.3,1.7,40,2
중랑구,2,50,1.6,2.6,56.7,519.0,2.7,7658.2,15.31,-0.1,117.9,21.2,14.8,5.5,2.7,27.6,9.6,1128525.9,349285.7,527.2,293.1,13.0,40.4,61.7,101.1,16.0,-0.1,-0.5,6.3,4.0,1.7,50,2
중랑구,2,55,1.5,2.5,62.4,526.6,2.4,6714.3,14.56,-0.1,128.7,16.1,15.9,5.1,1.9,26.7,9.6,1145590.0,356518.8,474.9,303.8,12.1,38.6,53.1,67.0,12.6,-0.1,-0.6,8.4,2.9,1.7,50,2
중랑구,2,60,1.5,2.6,63.0,490.9,2.0,6308.3,14.6,-0.1,122.4,19.0,14.4,4.8,1.9,22.3,8.1,1249064.6,392167.4,447.2,264.8,11.3,37.1,41.0,52.4,13.5,-0.1,-0.6,8.2,2.9,1.7,60,2
중랑구,2,70,1.5,1.5,0.0,0.0,1.7,5750.0,12.43,-0.1,105.4,11.8,10.7,3.0,0.8,14.9,6.1,1399456.5,449459.0,291.4,158.3,8.5,31.7,22.6,26.5,9.3,-0.3,-0.7,6.7,0.0,0.0,70,2
중랑구,1,20,2.1,3.8,59.4,457.9,2.2,6738.1,14.74,0.0,125.0,12.8,9.2,3.4,17.0,20.0,9.1,1205345.8,354170.0,541.0,277.9,12.0,66.1,94.3,86.3,31.3,0.3,-0.1,10.5,3.6,1.7,20,2
중랑구,1,25,2.0,3.3,68.3,542.5,2.2,7391.5,17.0,0.2,116.2,17.8,13.0,4.7,19.5,28.0,11.2,1039901.4,305796.1,897.9,384.6,16.0,66.8,105.4,104.0,31.8,0.3,-0.1,15.0,2.9,1.7,20,2
중랑구,1,30,2.0,2.8,72.3,545.7,2.4,5861.6,27.95,0.2,117.6,16.7,17.7,6.0,15.9,34.9,12.1,947380.7,286663.8,1035.0,436.5,19.1,70.1,137.6,130.7,35.8,0.2,-0.1,15.0,2.9,1.7,30,2
중랑구,1,35,1.9,2.4,75.8,546.8,2.4,7080.8,15.52,0.2,124.2,19.2,20.7,6.6,14.0,35.3,11.1,954428.4,303652.8,1136.4,413.4,18.7,61.9,137.1,145.7,32.6,0.1,-0.2,13.4,3.5,1.7,30,2
중랑구,1,40,1.7,2.2,79.5,547.6,2.4,6895.6,21.26,0.1,127.2,19.8,21.1,6.4,11.2,35.6,10.6,955115.2,295947.9,1100.2,378.0,17.9,65.0,131.6,144.6,30.6,0.1,-0.3,12.0,3.3,1.7,40,2
중랑구,1,45,1.8,2.3,76.3,565.6,2.1,6206.0,20.83,0.1,124.4,18.7,21.6,6.5,9.4,38.5,11.6,901900.1,278394.3,1212.5,407.6,19.1,65.6,120.4,133.3,29.4,0.0,-0.3,10.3,3.4,1.7,40,2
중랑구,1,60,1.7,2.3,70.5,533.2,2.5,4753.6,19.89,0.0,93.1,16.9,20.5,5.8,2.8,31.9,10.7,1025975.4,312731.9,1000.5,376.6,16.2,38.8,47.3,47.0,17.6,-0.1,-0.6,3.8,1.7,1.7,60,2
중랑구,1,65,1.7,2.5,65.3,512.7,3.3,5155.6,23.44,-0.1,72.3,16.0,17.1,5.0,1.8,26.7,8.9,1110866.4,349204.1,768.2,297.8,14.1,37.8,34.2,36.2,13.3,-0.2,-0.6,6.7,0.0,0.0,60,2
중랑구,1,70,1.6,1.4,0.0,0.0,0.0,7791.7,19.14,-0.1,58.8,8.6,12.4,3.6,1.5,19.4,8.2,1255100.6,393330.3,478.0,257.6,10.8,34.1,30.7,41.1,10.7,-0.3,-0.6,18.3,1.7,0.0,70,2
중랑구,2,20,1.8,2.9,76.8,493.1,2.4,9420.3,14.08,0.0,114.2,18.3,8.4,4.0,9.4,23.3,9.7,1182184.9,353726.3,632.7,298.7,13.7,41.4,68.2,87.9,21.9,0.2,-0.1,11.5,2.2,1.7,20,2
중랑구,2,30,1.9,2.7,65.2,539.8,2.5,6215.0,25.59,0.1,97.5,12.5,12.6,5.5,10.4,27.7,10.5,1055107.0,309666.3,628.7,374.1,16.2,41.1,117.3,159.9,30.4,0.1,-0.2,14.8,3.3,1.7,30,2
중랑구,2,35,1.9,2.7,62.6,523.5,2.8,6662.4,18.67,0.0,99.8,11.7,13.8,5.7,8.6,25.6,8.8,1134076.8,338674.8,590.1,303.4,14.4,43.4,108.5,162.8,25.4,0.0,-0.2,13.4,3.0,1.7,30,2
중랑구,2,40,1.6,2.5,67.2,519.8,2.4,5891.7,18.86,0.0,105.3,15.3,14.1,5.9,6.3,23.9,8.7,1166846.9,350734.7,534.2,308.2,13.8,40.3,94.5,149.2,25.2,0.0,-0.3,12.0,2.9,1.7,40,2
중랑구,2,45,1.6,2.3,60.2,510.9,2.6,7892.9,20.83,-0.1,131.5,20.4,16.0,6.2,3.9,26.4,9.3,1139111.8,354692.8,500.3,279.4,13.8,38.9,80.8,118.1,18.7,-0.1,-0.4,10.0,2.4,1.7,40,2
중랑구,2,50,1.6,2.4,62.3,523.2,2.4,7992.2,17.97,-0.1,126.8,20.8,16.4,5.6,3.1,24.7,9.1,1156051.5,349279.3,473.2,283.7,13.1,37.1,67.9,94.9,16.3,-0.1,-0.5,6.2,2.5,1.7,50,2
중랑구,2,55,1.5,2.2,62.9,515.7,2.4,7379.6,18.78,-0.1,124.1,12.7,14.6,4.6,2.0,24.3,8.8,1144891.1,352847.1,483.2,281.7,12.9,35.3,51.9,76.9,14.3,-0.1,-0.6,7.3,2.8,1.7,50,2
중랑구,2,60,1.7,2.5,60.1,484.2,2.3,6064.8,14.75,-0.1,128.6,15.5,14.4,4.5,1.8,22.8,9.0,1227591.9,376239.7,419.5,265.1,12.1,35.4,40.3,51.2,12.6,-0.2,-0.6,4.8,0.0,1.7,60,2
중랑구,2,65,1.6,2.5,61.4,457.0,1.7,8222.2,19.08,-0.1,116.1,16.9,11.9,3.8,1.4,20.3,7.0,1285113.2,408897.8,407.1,217.2,10.9,35.3,28.7,35.2,11.6,-0.2,-0.6,5.5,0.0,0.0,60,2
중랑구,2,70,1.6,1.5,0.0,0.0,1.7,12600.0,12.12,-0.2,110.4,17.8,11.4,3.4,0.5,15.5,6.4,1377045.0,442545.7,316.1,177.8,8.6,29.6,21.1,20.8,7.6,-0.4,-0.6,13.3,1.7,1.7,70,2
중랑구,2,75,1.7,1.0,0.0,0.0,1.7,6388.9,9.93,-0.3,74.9,15.9,8.5,2.7,0.6,11.8,5.3,1470635.5,460886.6,267.3,168.1,7.4,26.9,17.9,20.5,6.9,-0.7,-0.7,2.9,0.0,0.0,70,2
중랑구,1,25,2.2,3.5,57.9,545.6,2.4,8344.9,17.5,0.2,129.8,12.0,14.7,5.0,17.6,30.4,11.5,990256.7,282577.5,833.2,426.1,17.3,70.6,124.5,117.8,35.9,0.3,-0.1,15.8,3.2,1.7,20,2
중랑구,1,30,2.1,2.8,64.2,548.1,2.4,6994.8,19.29,0.2,130.7,14.5,18.4,6.3,15.0,34.5,11.4,950681.7,283043.6,971.7,445.4,18.8,66.0,131.7,124.1,32.3,0.2,-0.1,15.7,3.3,1.7,30,2
중랑구,1,35,2.0,2.7,64.5,538.1,2.3,7670.5,20.89,0.2,115.2,16.9,19.0,6.1,14.3,34.0,10.7,971499.7,297700.0,940.1,380.4,17.9,66.5,131.3,135.4,32.2,0.2,-0.2,13.9,3.7,1.7,30,2
중랑구,1,40,1.8,2.8,71.4,548.4,2.3,8155.9,16.87,0.1,127.8,19.0,19.7,6.2,10.2,33.1,10.0,992085.6,305972.9,977.1,370.3,17.0,60.8,113.4,125.2,27.6,0.1,-0.3,12.7,3.5,1.7,40,2
중랑구,1,60,1.8,2.8,66.4,521.6,2.4,5716.3,24.16,0.0,81.5,19.2,18.2,5.9,3.1,27.6,10.5,1063736.7,313214.5,787.7,368.3,14.6,41.5,47.7,49.0,15.2,-0.1,-0.6,6.9,0.0,1.7,60,2
중랑구,1,65,1.8,2.6,70.2,521.5,1.7,5773.3,19.01,0.0,80.0,16.0,16.5,4.9,1.8,25.7,9.7,1140865.5,350083.0,730.8,294.3,13.9,38.1,31.8,38.8,12.2,-0.2,-0.6,8.5,3.3,0.0,60,2
중랑구,1,70,1.8,1.6,0.0,0.0,1.7,8277.8,21.57,-0.1,51.5,12.0,12.5,3.7,1.8,20.7,8.4,1268125.1,385821.9,575.8,250.4,12.1,33.6,22.3,21.7,10.4,-0.3,-0.7,5.0,0.0,0.0,70,2
중랑구,1,75,1.5,1.0,0.0,0.0,3.3,10761.9,15.32,-0.2,50.8,14.3,9.8,3.3,1.5,14.9,6.4,1417562.1,439212.1,394.0,181.7,9.2,29.7,24.7,22.5,10.7,-0.5,-0.6,5.0,0.0,0.0,70,2
중랑구,2,20,2.3,3.6,58.1,539.8,2.7,9141.7,15.77,0.0,112.2,17.6,9.6,4.8,9.8,25.6,10.1,1064491.9,302525.3,673.0,357.6,15.2,39.3,75.6,102.8,23.4,0.2,-0.1,13.4,2.9,1.7,20,2
중랑구,2,30,1.9,2.9,58.1,536.1,2.7,6832.4,25.35,0.1,107.9,12.9,12.4,5.7,10.9,29.6,10.7,1020573.7,297473.0,724.1,424.3,17.1,43.8,118.3,158.1,30.0,0.1,-0.1,16.1,2.7,1.7,30,2
중랑구,2,35,1.8,2.8,60.0,524.9,2.6,7482.4,22.05,0.0,107.6,12.8,12.8,5.5,8.7,26.8,8.8,1097493.1,323657.1,620.1,314.4,14.9,42.3,107.4,158.1,27.5,0.0,-0.2,13.9,3.8,1.7,30,2
중랑구,2,40,1.7,2.7,61.4,536.4,2.3,8116.9,19.54,0.0,119.7,17.0,13.5,5.9,7.1,25.7,8.7,1108341.6,331784.6,583.1,284.5,14.5,46.2,101.9,142.9,24.3,-0.1,-0.3,11.9,3.3,1.7,40,2
중랑구,2,45,1.7,2.7,62.7,520.1,2.3,7294.4,16.84,0.0,130.0,21.4,15.0,5.6,5.5,28.5,9.1,1091381.0,318035.5,559.4,328.0,15.0,42.2,81.3,122.0,21.6,-0.1,-0.4,9.7,2.9,1.7,40,2
중랑구,2,55,1.8,2.7,61.6,508.7,1.9,7713.0,18.46,-0.1,128.3,14.3,14.5,4.7,2.0,23.6,9.2,1169058.5,351176.4,479.0,285.5,12.8,40.9,50.5,68.2,13.6,-0.1,-0.6,8.7,2.2,1.7,50,2
중랑구,2,60,1.7,2.6,63.8,521.5,1.7,7160.0,16.57,-0.1,119.9,13.9,14.0,4.6,2.2,23.2,9.0,1194328.6,354848.5,431.8,277.7,12.3,38.5,37.4,44.5,13.2,-0.1,-0.6,5.2,0.0,1.7,60,2
중랑구,2,75,1.7,1.0,0.0,0.0,1.7,10500.0,10.0,-0.2,77.2,11.8,9.0,2.7,1.0,12.6,5.3,1454694.0,453361.4,244.2,135.4,7.5,30.0,24.6,44.1,13.6,-0.6,-0.6,15.7,1.7,0.0,70,2
중랑구,1,20,2.2,4.0,70.7,501.0,3.0,7753.6,11.18,0.1,116.1,13.0,10.2,3.5,17.5,22.8,9.9,1135273.9,349025.4,560.0,309.2,12.4,72.8,94.4,80.5,31.8,0.3,-0.1,14.1,2.6,1.7,20,2
중랑구,1,25,1.9,3.5,63.0,521.6,2.3,9329.0,16.94,0.2,122.5,12.1,12.4,4.5,17.5,29.5,10.8,1079485.8,326050.8,817.1,382.1,16.4,70.8,107.7,99.5,32.9,0.2,-0.1,15.2,2.9,1.7,20,2
중랑구,1,30,1.8,2.9,66.8,559.3,2.2,7914.6,25.15,0.3,114.3,13.7,17.1,5.6,17.3,34.2,12.2,974364.5,300654.3,960.6,394.8,18.7,69.9,136.0,138.9,36.3,0.2,-0.1,15.8,3.4,1.7,30,2
중랑구,1,35,1.8,2.5,74.1,553.4,2.5,8844.9,22.25,0.2,119.8,12.9,19.9,6.1,13.0,35.8,11.1,957628.7,310868.2,1098.8,376.1,18.4,67.8,134.1,143.6,33.0,0.1,-0.2,13.5,3.8,1.7,30,2
중랑구,1,40,1.7,2.4,73.8,550.0,2.2,7322.5,19.43,0.1,123.4,22.3,20.9,6.4,11.2,35.8,11.2,942772.3,294616.2,1066.4,384.8,18.5,68.8,117.5,137.5,29.3,0.0,-0.3,11.5,3.3,1.7,40,2
중랑구,1,45,1.7,2.6,73.0,547.8,2.2,7562.8,20.56,0.0,106.5,15.0,18.1,5.4,7.9,34.1,10.7,976547.9,314386.9,1008.9,338.5,17.4,58.3,91.1,113.2,26.3,0.0,-0.4,9.9,4.9,1.7,40,2
중랑구,1,60,1.6,2.6,71.3,526.0,2.1,5617.9,23.72,0.0,88.5,17.1,21.3,5.2,2.5,31.2,11.3,1013306.2,321911.0,905.4,371.0,15.9,39.4,40.5,44.1,15.0,-0.1,-0.6,8.2,2.9,1.7,60,2
중랑구,1,65,1.7,2.7,77.3,487.5,2.8,6371.8,24.92,0.0,73.4,17.5,16.8,4.8,2.4,27.3,9.5,1113104.4,356414.8,849.3,292.5,14.3,36.8,38.9,38.3,14.1,-0.2,-0.6,4.8,3.3,1.7,60,2
중랑구,1,70,1.6,1.7,0.0,0.0,0.0,7533.3,23.44,-0.1,64.1,10.5,12.6,3.8,1.9,22.2,8.3,1221008.4,388109.6,550.1,231.6,12.8,34.2,26.4,25.1,14.9,-0.2,-0.6,16.1,0.0,0.0,70,2
중랑구,1,75,1.5,1.0,0.0,0.0,0.0,7583.3,14.8,-0.2,55.2,14.6,10.1,3.0,0.9,14.6,6.1,1415137.4,459574.7,371.9,167.0,8.1,28.2,21.4,25.6,9.7,-0.5,-0.7,10.0,0.0,0.0,70,2
중랑구,2,20,1.8,3.1,63.1,475.2,2.7,9521.7,17.58,0.0,113.0,15.5,8.4,4.4,10.5,26.2,10.7,1115059.9,333131.3,601.3,308.0,14.8,36.0,76.7,99.5,22.7,0.2,-0.1,12.9,3.8,1.7,20,2
중랑구,2,30,1.8,2.7,60.2,537.8,2.8,6812.0,22.62,0.1,101.8,8.9,12.6,5.0,11.1,29.6,10.5,1024599.1,307269.2,699.9,351.5,16.8,45.6,115.9,163.5,30.1,0.1,-0.1,15.2,3.1,1.7,30,2
중랑구,2,35,1.7,2.7,65.0,519.1,2.6,8511.4,22.77,0.0,100.9,13.3,13.4,5.5,8.3,25.6,9.5,1155617.1,351908.6,613.4,326.6,14.2,44.5,107.4,159.1,25.7,0.0,-0.3,13.6,2.5,1.7,30,2
중랑구,2,40,1.6,2.6,56.1,482.1,2.8,8356.8,17.94,0.0,119.4,16.5,14.7,5.8,5.8,25.4,8.6,1163216.3,354466.0,543.1,283.0,13.8,42.2,95.5,144.6,24.0,-0.1,-0.3,11.5,2.7,1.7,40,2
중랑구,2,45,1.6,2.6,62.6,513.0,2.5,8828.0,14.93,-0.1,125.9,15.7,15.0,5.6,5.2,27.1,8.7,1111876.4,345835.4,532.0,253.4,14.1,43.9,82.3,119.1,21.4,-0.1,-0.4,9.1,3.9,1.7,40,2
중랑구,2,55,1.6,2.5,57.9,516.2,2.0,7050.0,13.78,-0.1,127.6,14.5,14.5,4.8,2.3,25.6,9.0,1167096.7,361000.8,479.6,292.7,13.0,39.2,50.7,72.4,14.1,-0.1,-0.6,6.1,3.3,1.7,50,2
중랑구,2,60,1.5,2.6,57.8,500.1,2.5,4885.1,15.79,-0.1,121.9,16.9,13.6,4.4,1.7,22.2,8.7,1223919.9,382097.8,382.4,244.2,11.5,35.0,36.6,50.2,12.8,-0.2,-0.6,8.8,1.7,1.7,60,2
중랑구,2,65,1.5,2.5,55.3,484.3,3.3,7607.8,13.5,-0.1,113.2,11.4,12.7,3.7,1.4,20.1,7.2,1276934.0,409770.2,369.7,223.1,10.1,35.0,30.1,40.0,12.2,-0.2,-0.6,9.7,0.0,1.7,60,2
중랑구,2,70,1.5,1.4,0.0,0.0,2.5,12083.3,12.56,-0.2,90.6,12.5,10.0,3.2,1.0,15.1,6.5,1384089.8,451534.1,270.7,175.4,8.5,30.5,21.0,32.3,8.6,-0.3,-0.6,10.6,0.0,0.0,70,2
