시점,구분(1),구분(2),데이터
2016.03,충청북도,도평균,36
2016.03,전라북도,도평균,39
2016.03,전라남도,도평균,29
2016.03,경상남도,도평균,28
2016.03,제주특별자치도,도평균,29
2016.04,서울특별시,서울특별시,30
2016.04,부산광역시,부산광역시,29
2016.04,대구광역시,대구광역시,25
2016.04,인천광역시,인천광역시,31
2016.04,광주광역시,광주광역시,29
2016.04,대전광역시,대전광역시,25
2016.04,울산광역시,울산광역시,27
2016.04,경기도,도평균,32
2016.04,강원도,도평균,32
2016.04,충청북도,도평균,30
2016.04,전라북도,도평균,35
2016.04,전라남도,도평균,26
2016.04,경상남도,도평균,26
2016.04,제주특별자치도,도평균,29
2016.05,서울특별시,서울특별시,29
2016.05,부산광역시,부산광역시,31
2016.05,대구광역시,대구광역시,26
2016.05,인천광역시,인천광역시,29
2016.05,광주광역시,광주광역시,27
2016.05,대전광역시,대전광역시,25
2016.05,울산광역시,울산광역시,29
2016.05,세종특별자치시,세종특별자치시,28
2016.05,경기도,도평균,29
2016.05,강원도,도평균,30
2016.05,충청북도,도평균,26
2016.05,충청남도,도평균,27
2016.05,전라북도,도평균,34
2016.05,전라남도,도평균,28
2016.05,경상북도,도평균,23
2016.05,경상남도,도평균,28
2016.05,제주특별자치도,도평균,29
2016.06,서울특별시,서울특별시,28
2016.06,부산광역시,부산광역시,27
2016.06,대구광역시,대구광역시,24
2016.06,인천광역시,인천광역시,25
2016.06,광주광역시,광주광역시,23
2016.06,대전광역시,대전광역시,22
2016.06,울산광역시,울산광역시,25
2016.06,세종특별자치시,세종특별자치시,25
2016.06,경기도,도평균,26
2016.06,강원도,도평균,26
2016.06,충청북도,도평균,23
2016.06,충청남도,도평균,26
2016.06,전라북도,도평균,32
2016.06,전라남도,도평균,24
2016.06,경상북도,도평균,21
2016.06,경상남도,도평균,26
2016.06,제주특별자치도,도평균,22
2016.07,서울특별시,서울특별시,21
2016.07,부산광역시,부산광역시,17
2016.07,대구광역시,대구광역시,19
2016.07,인천광역시,인천광역시,19
2016.07,광주광역시,광주광역시,15
2016.07,대전광역시,대전광역시,13
2016.07,울산광역시,울산광역시,19
2016.07,세종특별자치시,세종특별자치시,19
2016.07,경기도,도평균,20
2016.07,강원도,도평균,19
2016.07,충청북도,도평균,11
2016.07,충청남도,도평균,17
2016.07,전라북도,도평균,18
2016.07,전라남도,도평균,18
2016.07,경상북도,도평균,15
2016.07,경상남도,도평균,18
2016.07,제주특별자치도,도평균,13
2016.08,서울특별시,서울특별시,22
2016.08,부산광역시,부산광역시,21
2016.08,대구광역시,대구광역시,17
2016.08,인천광역시,인천광역시,20
2016.08,광주광역시,광주광역시,17
2016.08,대전광역시,대전광역시,15
2016.08,울산광역시,울산광역시,16
2016.08,세종특별자치시,세종특별자치시,24
2016.08,경기도,도평균,21
2016.08,강원도,도평균,17
2016.08,충청북도,도평균,12
2016.08,충청남도,도평균,23
2016.08,전라북도,도평균,23
2016.08,전라남도,도평균,23
2016.08,경상북도,도평균,15
2016.08,경상남도,도평균,20
2016.08,제주특별자치도,도평균,13
2016.09,서울특별시,서울특별시,23
2016.09,부산광역시,부산광역시,21
2016.09,대구광역시,대구광역시,20
2016.09,인천광역시,인천광역시,25
2016.09,광주광역시,광주광역시,21
2016.09,대전광역시,대전광역시,17
2016.09,울산광역시,울산광역시,20
2016.09,세종특별자치시,세종특별자치시,19
2016.09,경기도,도평균,24
2016.09,강원도,도평균,21
2016.09,충청북도,도평균,19
2016.09,충청남도,도평균,24
2016.09,전라북도,도평균,28
2016.09,전라남도,도평균,21
2016.09,경상북도,도평균,20
2016.09,경상남도,도평균,22
2016.09,제주특별자치도,도평균,19
2016.1,서울특별시,서울특별시,20
2016.1,부산광역시,부산광역시,21
2016.1,대구광역시,대구광역시,20
2016.1,인천광역시,인천광역시,21
2016.1,광주광역시,광주광역시,18
2016.1,대전광역시,대전광역시,16
2016.1,울산광역시,울산광역시,18
2016.1,세종특별자치시,세종특별자치시,17
2016.1,경기도,도평균,23
2016.1,강원도,도평균,22
2016.1,충청북도,도평균,22
2016.1,충청남도,도평균,24
2016.1,전라북도,도평균,25
2016.1,전라남도,도평균,18
2016.1,경상북도,도평균,21
2016.1,경상남도,도평균,20
2016.1,제주특별자치도,도평균,17
2016.11,서울특별시,서울특별시,28
2016.11,부산광역시,부산광역시,31
2016.11,대구광역시,대구광역시,31
2016.11,인천광역시,인천광역시,29
2016.11,광주광역시,광주광역시,26
2016.11,대전광역시,대전광역시,25
2016.11,울산광역시,울산광역시,27
2016.11,세종특별자치시,세종특별자치시,28
2016.11,경기도,도평균,33
2016.11,강원도,도평균,33
2016.11,충청북도,도평균,36
2016.11,충청남도,도평균,30
2016.11,전라북도,도평균,37
2016.11,전라남도,도평균,23
2016.11,경상북도,도평균,31
2016.11,경상남도,도평균,29
2016.11,제주특별자치도,도평균,19
2016.12,서울특별시,서울특별시,30
2016.12,부산광역시,부산광역시,30
2016.12,대구광역시,대구광역시,28
2016.12,인천광역시,인천광역시,29
2016.12,광주광역시,광주광역시,26
2016.12,대전광역시,대전광역시,25
2016.12,울산광역시,울산광역시,24
2016.12,세종특별자치시,세종특별자치시,27
2016.12,경기도,도평균,34
2016.12,강원도,도평균,33
2016.12,충청북도,도평균,37
2016.12,충청남도,도평균,29
2016.12,전라북도,도평균,36
2016.12,전라남도,도평균,21
2016.12,경상북도,도평균,28
2016.12,경상남도,도평균,25
2016.12,제주특별자치도,도평균,20
2017.01,서울특별시,서울특별시,32
2017.01,부산광역시,부산광역시,31
2017.01,대구광역시,대구광역시,29
2017.01,인천광역시,인천광역시,31
2017.01,광주광역시,광주광역시,30
2017.01,대전광역시,대전광역시,26
2017.01,울산광역시,울산광역시,26
2017.01,세종특별자치시,세종특별자치시,32
2017.01,경기도,도평균,38
2017.01,강원도,도평균,38
2017.01,충청북도,도평균,40
2017.01,충청남도,도평균,28
2017.01,전라북도,도평균,38
2017.01,전라남도,도평균,23
2017.01,경상북도,도평균,30
2017.01,경상남도,도평균,27
2017.01,제주특별자치도,도평균,21
2017.02,서울특별시,서울특별시,28
2017.02,부산광역시,부산광역시,27
2017.02,대구광역시,대구광역시,24
2017.02,인천광역시,인천광역시,26
2017.02,광주광역시,광주광역시,23
2017.02,대전광역시,대전광역시,24
2017.02,울산광역시,울산광역시,23
2017.02,세종특별자치시,세종특별자치시,28
2017.02,경기도,도평균,32
2017.02,강원도,도평균,34
2017.02,충청북도,도평균,34
2017.02,충청남도,도평균,24
2017.02,전라북도,도평균,32
2017.02,전라남도,도평균,21
2017.02,경상북도,도평균,28
2017.02,경상남도,도평균,23
2017.02,제주특별자치도,도평균,22
2017.03,서울특별시,서울특별시,39
2017.03,부산광역시,부산광역시,34
2017.03,대구광역시,대구광역시,28
2017.03,인천광역시,인천광역시,37
2017.03,광주광역시,광주광역시,33
2017.03,대전광역시,대전광역시,29
2017.03,울산광역시,울산광역시,33
2017.03,세종특별자치시,세종특별자치시,37
2017.03,경기도,도평균,42
2017.03,강원도,도평균,38
2017.03,충청북도,도평균,40
2017.03,충청남도,도평균,34
2017.03,전라북도,도평균,44
2017.03,전라남도,도평균,27
2017.03,경상북도,도평균,31
2017.03,경상남도,도평균,29
2017.03,제주특별자치도,도평균,27
2017.04,서울특별시,서울특별시,26
2017.04,부산광역시,부산광역시,27
2017.04,대구광역시,대구광역시,21
2017.04,인천광역시,인천광역시,27
2017.04,광주광역시,광주광역시,26
2017.04,대전광역시,대전광역시,22
2017.04,울산광역시,울산광역시,27
2017.04,세종특별자치시,세종특별자치시,23
2017.04,경기도,도평균,29
2017.04,강원도,도평균,27
2017.04,충청북도,도평균,27
2017.04,충청남도,도평균,25
2017.04,전라북도,도평균,32
2017.04,전라남도,도평균,22
2017.04,경상북도,도평균,22
2017.04,경상남도,도평균,23
2017.04,제주특별자치도,도평균,24
2017.05,서울특별시,서울특별시,24
2017.05,부산광역시,부산광역시,29
2017.05,대구광역시,대구광역시,23
2017.05,인천광역시,인천광역시,27
2017.05,광주광역시,광주광역시,24
2017.05,대전광역시,대전광역시,21
2017.05,울산광역시,울산광역시,31
2017.05,세종특별자치시,세종특별자치시,20
2017.05,경기도,도평균,27
2017.05,강원도,도평균,27
2017.05,충청북도,도평균,25
2017.05,충청남도,도평균,24
2017.05,전라북도,도평균,29
2017.05,전라남도,도평균,21
2017.05,경상북도,도평균,24
2017.05,경상남도,도평균,25
2017.05,제주특별자치도,도평균,21
2017.06,서울특별시,서울특별시,22
2017.06,부산광역시,부산광역시,26
2017.06,대구광역시,대구광역시,21
2017.06,인천광역시,인천광역시,24
2017.06,광주광역시,광주광역시,22
2017.06,대전광역시,대전광역시,21
2017.06,울산광역시,울산광역시,28
2017.06,세종특별자치시,세종특별자치시,21
2017.06,경기도,도평균,23
2017.06,강원도,도평균,23
2017.06,충청북도,도평균,24
2017.06,충청남도,도평균,23
2017.06,전라북도,도평균,26
2017.06,전라남도,도평균,21
2017.06,경상북도,도평균,22
2017.06,경상남도,도평균,24
2017.06,제주특별자치도,도평균,23
2017.07,서울특별시,서울특별시,22
2017.07,부산광역시,부산광역시,23
