관측소 번호,관측소 명,위도,경도,Date,tph_level_1,tph_time_1,hl_code_1,tph_level_2,tph_time_2,hl_code_2,tph_level_3,tph_time_3,hl_code_3,tph_level_4,tph_time_4,hl_code_4
SO_0548,우이도,34.62,125.856,,,,,,,,,,,,,
SO_0572,읍천항,35.69,129.475,,,,,,,,,,,,,
SO_0569,남포항,34.957,128.321,,,,,,,,,,,,,
SO_0570,광암항,35.102,128.498,,,,,,,,,,,,,
SO_0568,백야도,34.624,127.632,,,,,,,,,,,,,
SO_0577,가거도,34.05,125.128,,,,,,,,,,,,,
SO_0566,송공항,34.848,126.225,,,,,,,,,,,,,
SO_0565,향화도항,35.167,126.359,,,,,,,,,,,,,
SO_0574,백사장항,36.586,126.315,,,,,,,,,,,,,
SO_0731,대진항,38.501,128.426,,,,,,,,,,,,,
SO_1251,낙월도,35.2,126.145,,,,,,,,,,,,,
SO_1252,외연도항,36.225,126.081,,,,,,,,,,,,,
SO_0757,안남리,34.73,127.264,,,,,,,,,,,,,
SO_0755,원동항,34.393,126.648,,,,,,,,,,,,,
SO_0754,평호리,34.448,126.455,,,,,,,,,,,,,
SO_1256,어류정항,37.643,126.342,,,,,,,,,,,,,
SO_1249,독거도,34.256,126.178,,,,,,,,,,,,,
SO_1250,평도,34.245,127.447,,,,,,,,,,,,,
SO_1253,상왕등도,35.658,126.11,,,,,,,,,,,,,
SO_1254,만재도,34.21,125.472,,,,,,,,,,,,,
SO_1248,신안옥도,34.683,126.064,,,,,,,,,,,,,
SO_0759,장문리,34.873,128.424,,,,,,,,,,,,,
DT_0068,위도,35.618,126.301,,,,,,,,,,,,,
SO_0760,오산항,36.888,129.416,,,,,,,,,,,,,
SO_0753,하의도웅곡,34.608,126.038,,,,,,,,,,,,,
SO_0631,암태도,34.853,126.071,,,,,,,,,,,,,
SO_0752,검산항,35,126.107,,,,,,,,,,,,,
SO_0761,녹동항,34.527,127.134,,,,,,,,,,,,,
DT_0067,안흥,36.674,126.129,,,,,,,,,,,,,
SO_1255,상태도,34.435,125.285,,,,,,,,,,,,,
SO_0758,달천도,34.761,127.563,,,,,,,,,,,,,
SO_0756,사초항,34.47,126.761,,,,,,,,,,,,,
DT_0063,가덕도,35.024,128.81,,,,,,,,,,,,,
DT_0062,마산,35.197,128.576,,,,,,,,,,,,,
SO_1257,강화하리,37.728,126.286,,,,,,,,,,,,,
DT_0092,여호항,34.661,127.469,,,,,,,,,,,,,
SO_1258,잠진도,37.415,126.415,,,,,,,,,,,,,
SO_1259,자월도,37.243,126.318,,,,,,,,,,,,,
SO_1260,방포항,36.502,126.325,,,,,,,,,,,,,
SO_1261,무창포항,36.249,126.534,,,,,,,,,,,,,
SO_1262,격포항,35.62,126.463,,,,,,,,,,,,,
SO_1263,구시포항,35.447,126.425,,,,,,,,,,,,,
SO_1264,계마항,35.39,126.401,,,,,,,,,,,,,
SO_1265,송이도,35.271,126.15,,,,,,,,,,,,,
SO_1266,남열항,34.576,127.48,,,,,,,,,,,,,
SO_1267,구룡포항,35.99,129.555,,,,,,,,,,,,,
